                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.50397,                0.34622,                0.91178,                0.99828,                      1,                  0.995,                0.94602,                0.33116,                0.23421,                0.86252,              0.0006734,              0.0006734,              0.0006734
                     70,                0.45522,                0.33545,                0.84465,                0.99835,                      1,                  0.995,                0.95891,                0.31764,                0.22526,                0.85936,              0.0006536,              0.0006536,              0.0006536
                     71,                0.46602,                0.31893,                0.85652,                0.99795,                      1,                  0.995,                0.95172,                0.35763,                0.22948,                0.86161,              0.0006338,              0.0006338,              0.0006338
                     72,                0.53041,                0.35276,                 0.9091,                0.99793,                      1,                  0.995,                0.96112,                0.35286,                0.24145,                0.85995,               0.000614,               0.000614,               0.000614
                     73,                 0.4584,                0.33717,                0.87179,                0.99793,                      1,                  0.995,                 0.9389,                 0.3438,                0.22703,                0.85317,              0.0005942,              0.0005942,              0.0005942
                     74,                0.46356,                  0.366,                0.91013,                  0.998,                      1,                  0.995,                0.97196,                0.30449,                0.23398,                0.86248,              0.0005744,              0.0005744,              0.0005744
                     75,                0.47416,                0.33819,                0.88693,                0.99828,                      1,                  0.995,                0.92851,                0.34028,                0.24904,                0.85933,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.5174,                0.36786,                0.89091,                0.99806,                      1,                  0.995,                0.93683,                0.36351,                0.24009,                0.86013,              0.0005348,              0.0005348,              0.0005348
                     77,                0.46112,                 0.3137,                0.86748,                0.99818,                      1,                  0.995,                0.94954,                0.34006,                0.23549,                0.86704,               0.000515,               0.000515,               0.000515
                     78,                0.47908,                0.31704,                0.87975,                0.99837,                      1,                  0.995,                0.95261,                0.32457,                0.22262,                0.85839,              0.0004952,              0.0004952,              0.0004952
                     79,                0.51159,                0.34571,                0.93435,                      1,                      1,                  0.995,                0.95858,                0.32537,                0.22805,                0.85625,              0.0004754,              0.0004754,              0.0004754
                     80,                0.47898,                0.37626,                0.88645,                0.99905,                      1,                  0.995,                0.96519,                0.32999,                0.22131,                0.85707,              0.0004556,              0.0004556,              0.0004556
                     81,                0.47535,                0.31334,                0.86996,                 0.9984,                      1,                  0.995,                0.96296,                0.31691,                0.23178,                0.86343,              0.0004358,              0.0004358,              0.0004358
                     82,                0.42621,                0.28008,                0.84697,                0.99827,                      1,                  0.995,                0.95957,                0.31322,                0.22846,                0.86648,               0.000416,               0.000416,               0.000416
                     83,                0.43732,                 0.3283,                0.90354,                0.99825,                      1,                  0.995,                0.96144,                0.30898,                0.22078,                 0.8542,              0.0003962,              0.0003962,              0.0003962
                     84,                0.45495,                0.35873,                0.88177,                0.99799,                      1,                  0.995,                0.95631,                0.30609,                0.22468,                0.84864,              0.0003764,              0.0003764,              0.0003764
                     85,                0.47673,                0.32974,                0.91943,                0.99799,                      1,                  0.995,                 0.9627,                0.30678,                0.22575,                0.86069,              0.0003566,              0.0003566,              0.0003566
                     86,                0.45378,                0.33671,                0.89463,                0.99816,                      1,                  0.995,                0.96655,                0.29087,                0.21407,                0.85723,              0.0003368,              0.0003368,              0.0003368
                     87,                0.45991,                 0.3281,                0.89326,                0.99824,                      1,                  0.995,                0.97199,                0.30157,                0.22155,                0.86046,               0.000317,               0.000317,               0.000317
                     88,                0.46281,                0.31052,                0.87377,                0.99815,                      1,                  0.995,                0.97826,                0.30957,                0.22305,                0.85523,              0.0002972,              0.0002972,              0.0002972
                     89,                0.43666,                0.30631,                0.88109,                0.99831,                      1,                  0.995,                 0.9833,                0.28509,                0.21262,                0.85879,              0.0002774,              0.0002774,              0.0002774
                     90,                0.43506,                0.31269,                0.86105,                0.99823,                      1,                  0.995,                 0.9656,                0.28175,                0.20348,                0.85709,              0.0002576,              0.0002576,              0.0002576
                     91,                0.39702,                0.27538,                0.87016,                0.99835,                      1,                  0.995,                0.96236,                0.29206,                0.21156,                0.85974,              0.0002378,              0.0002378,              0.0002378
                     92,                0.38763,                0.27268,                0.86679,                0.99843,                      1,                  0.995,                0.96488,                0.27143,                0.19703,                0.85377,               0.000218,               0.000218,               0.000218
                     93,                0.39296,                0.27478,                0.89419,                0.99837,                      1,                  0.995,                0.96572,                0.27468,                0.19864,                 0.8551,              0.0001982,              0.0001982,              0.0001982
                     94,                0.38998,                0.26395,                0.89713,                0.99822,                      1,                  0.995,                0.97017,                0.28544,                 0.2092,                 0.8548,              0.0001784,              0.0001784,              0.0001784
                     95,                0.38328,                0.26295,                0.87591,                0.99833,                      1,                  0.995,                0.96703,                0.26069,                0.20257,                0.85398,              0.0001586,              0.0001586,              0.0001586
                     96,                0.39004,                0.27533,                0.89339,                0.99846,                      1,                  0.995,                0.97562,                0.27381,                0.20472,                0.85401,              0.0001388,              0.0001388,              0.0001388
                     97,                0.37064,                0.25509,                 0.8662,                0.99846,                      1,                  0.995,                0.97662,                0.29753,                0.20291,                0.85413,               0.000119,               0.000119,               0.000119
                     98,                0.36689,                0.25098,                0.86798,                0.99841,                      1,                  0.995,                0.97464,                 0.2774,                 0.1943,                0.85509,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.38797,                0.25133,                0.87362,                0.99837,                      1,                  0.995,                0.97642,                0.26609,                0.18836,                0.85383,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.39112,                0.26115,                0.86504,                0.99836,                      1,                  0.995,                0.98101,                0.26642,                0.19303,                0.85424,               5.96e-05,               5.96e-05,               5.96e-05
