                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.69682,                 1.0596,                0.43765,                0.93605,                 0.9898,                0.98236,                0.99333,                0.66948,                0.74694,                   0.75,                0.64425,                0.44282,                0.80408,                 1.1334,                0.42974,                0.96383,              0.0015449,              0.0015449,              0.0015449
                     40,                0.70189,                 1.0223,                0.43028,                0.93635,                0.96589,                0.98535,                  0.995,                0.67681,                0.82027,                0.84502,                0.77745,                0.43341,                0.87775,                 1.2068,                0.48073,                0.98681,              0.0015416,              0.0015416,              0.0015416
                     41,                0.70214,                 1.0955,                0.43845,                0.93032,                0.96668,                0.98602,                  0.995,                0.60029,                0.93444,                 0.9548,                0.95646,                 0.5789,                0.89233,                 1.2225,                0.48564,                0.99278,              0.0015383,              0.0015383,              0.0015383
                     42,                0.71841,                 1.0456,                0.44584,                0.93301,                0.97092,                0.98584,                  0.995,                0.66171,                0.87297,                0.89062,                0.85288,                0.50505,                0.83746,                 1.2498,                0.45354,                0.98743,               0.001535,               0.001535,               0.001535
                     43,                0.72009,                  1.068,                0.45819,                0.94671,                0.99446,                 0.9826,                0.99263,                 0.6721,                0.73542,                0.73438,                0.64291,                0.41773,                0.85041,                 1.1589,                0.43006,                0.99724,              0.0015317,              0.0015317,              0.0015317
                     44,                0.68279,                 1.0513,                0.43049,                0.92219,                 0.9872,                0.98195,                0.99157,                0.61925,                0.82495,                 0.8266,                0.76936,                0.44546,                0.96303,                 1.1672,                0.45142,                 1.0252,              0.0015284,              0.0015284,              0.0015284
                     45,                 0.7131,                 1.1484,                0.44314,                0.93165,                0.97939,                0.98438,                0.99181,                 0.6384,                0.81752,                0.82812,                0.75234,                0.45158,                0.97097,                 1.1571,                0.47342,                 1.0376,              0.0015251,              0.0015251,              0.0015251
                     46,                0.66589,                 1.0641,                0.41069,                0.91883,                0.98996,                0.98438,                0.99348,                0.59163,                0.86092,                0.85938,                0.82873,                 0.4481,                0.88045,                 1.1732,                0.46777,                0.99142,              0.0015218,              0.0015218,              0.0015218
                     47,                0.66217,                  1.028,                0.41724,                0.92236,                0.99113,                0.98438,                0.99455,                0.65789,                 0.8466,                0.84375,                0.82256,                0.45779,                0.98007,                 1.1935,                0.41585,                  1.043,              0.0015185,              0.0015185,              0.0015185
                     48,                0.71346,                 1.0853,                0.43245,                 0.9405,                0.97812,                0.97266,                0.99309,                0.65695,                 0.8814,                0.87891,                0.87514,                0.49985,                0.92704,                 1.2105,                0.46504,                 1.0073,              0.0015152,              0.0015152,              0.0015152
                     49,                0.67814,                 1.1087,                0.41787,                0.92293,                0.98403,                0.98438,                0.99455,                0.67213,                0.82221,                0.73413,                0.72739,                0.44908,                 1.0028,                  1.374,                0.45173,                 1.0473,              0.0015119,              0.0015119,              0.0015119
                     50,                0.73377,                 1.0671,                0.44958,                0.93617,                0.97347,                0.96875,                0.97968,                0.63414,                0.79411,                0.79688,                0.74106,                0.43744,                 0.9687,                 1.3813,                0.44087,                 1.0107,              0.0015086,              0.0015086,              0.0015086
                     51,                0.76013,                 1.1145,                0.45703,                 0.9611,                0.97875,                0.96604,                0.97437,                0.62892,                0.80007,                0.79468,                0.71105,                0.42739,                0.91607,                 1.3066,                0.42231,                  1.011,              0.0015053,              0.0015053,              0.0015053
                     52,                0.70842,                 1.0302,                0.42538,                 0.9348,                0.99617,                0.97427,                 0.9812,                0.65343,                0.82907,                0.81875,                0.77299,                0.46075,                0.86683,                 1.2103,                0.43825,                0.99758,               0.001502,               0.001502,               0.001502
                     53,                 0.6694,                 1.0275,                0.40793,                0.91914,                 0.9951,                 0.9864,                  0.995,                0.69259,                0.81821,                 0.8125,                0.74034,                0.43577,                0.92736,                 1.4002,                0.41726,                 1.0366,              0.0014987,              0.0014987,              0.0014987
                     54,                0.64238,                0.95961,                0.37582,                0.92353,                0.99759,                0.98438,                0.99412,                0.62316,                0.85218,                0.84375,                 0.7875,                0.44946,                0.92454,                 1.2421,                0.38586,                 1.0146,              0.0014954,              0.0014954,              0.0014954
                     55,                 0.6424,                0.94128,                0.37765,                0.90674,                0.98642,                0.99683,                  0.995,                0.66867,                0.84486,                0.85627,                0.78422,                 0.4392,                0.88124,                 1.3766,                0.41288,                 0.9971,              0.0014921,              0.0014921,              0.0014921
                     56,                0.65849,                0.94918,                0.39295,                0.92318,                0.99275,                0.99197,                  0.995,                0.69665,                0.81532,                 0.8125,                0.75367,                0.44813,                0.80806,                 1.3121,                0.39398,                0.96607,              0.0014888,              0.0014888,              0.0014888
                     57,                0.64202,                0.95624,                0.36362,                0.89493,                0.96804,                0.98549,                  0.995,                0.71123,                0.79135,                 0.8119,                0.73702,                0.44457,                0.82151,                 1.1566,                 0.4298,                0.96085,              0.0014855,              0.0014855,              0.0014855
                     58,                0.65314,                   1.01,                0.38188,                0.89869,                0.95331,                0.98126,                 0.9905,                0.63043,                0.75813,                0.79468,                0.69826,                0.41428,                0.88536,                  1.287,                0.49182,                0.97941,              0.0014822,              0.0014822,              0.0014822
