                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.82845,                 1.2807,                0.53679,                 1.0664,                0.97989,                0.97142,                0.99369,                0.74461,                0.88332,                 0.9029,                0.90114,                0.54899,                0.83587,                 1.2676,                0.45287,                 1.0986,              0.0011389,              0.0011389,              0.0011389
                     35,                 0.7877,                 1.2474,                0.50962,                 1.0342,                0.97604,                0.99922,                0.99393,                0.75269,                0.83683,                0.86059,                0.81266,                0.51057,                0.82526,                 1.3257,                0.42106,                 1.1082,              0.0011224,              0.0011224,              0.0011224
                     36,                0.82553,                 1.3827,                0.55249,                 1.0497,                0.92727,                0.89248,                0.94721,                0.68089,                0.81344,                0.78688,                0.81407,                0.48402,                 0.8732,                  1.769,                0.77547,                 1.1469,              0.0011059,              0.0011059,              0.0011059
                     37,                 0.8194,                 1.2525,                0.55365,                 1.0442,                0.96763,                0.93443,                0.98343,                0.71778,                0.88573,                0.85809,                0.86561,                0.51865,                 0.8522,                 1.5258,                0.59514,                 1.1356,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.7888,                 1.2127,                0.51897,                 1.0312,                0.97384,                0.95833,                0.98417,                0.73692,                0.92975,                0.91667,                0.89736,                0.57034,                0.79618,                 1.4428,                0.61412,                 1.1116,              0.0010729,              0.0010729,              0.0010729
                     39,                 0.8019,                 1.3285,                0.50831,                 1.0398,                0.97722,                 0.9827,                0.99406,                0.73008,                0.93399,                0.94112,                0.92991,                0.54684,                0.75086,                 1.1823,                0.41881,                 1.0634,              0.0010564,              0.0010564,              0.0010564
                     40,                0.78965,                  1.271,                0.51371,                 1.0674,                0.98726,                0.96542,                0.99225,                0.77448,                0.91309,                0.89706,                0.89922,                0.57255,                0.76247,                    1.2,                0.41685,                 1.0764,              0.0010399,              0.0010399,              0.0010399
                     41,                 0.7641,                  1.224,                0.51228,                 1.0478,                0.98222,                0.98611,                0.98979,                0.75015,                0.91049,                0.91667,                0.89669,                0.55119,                0.72321,                 1.1781,                0.42247,                 1.0468,              0.0010234,              0.0010234,              0.0010234
                     42,                 0.7746,                 1.2931,                0.52682,                 1.0275,                0.95643,                0.96875,                0.99054,                0.71309,                0.88659,                0.89931,                0.90349,                 0.5378,                0.84469,                 1.4118,                0.52576,                  1.143,              0.0010069,              0.0010069,              0.0010069
                     43,                0.79295,                 1.2186,                0.49489,                 1.0335,                 0.9776,                0.96424,                0.98104,                0.73596,                 0.8775,                0.86314,                0.83606,                0.46021,                0.82563,                 1.5099,                0.53583,                 1.1044,             0.00099036,             0.00099036,             0.00099036
                     44,                0.78456,                 1.2273,                0.49574,                 1.0389,                0.97543,                0.98611,                0.99285,                0.75169,                0.88017,                0.88889,                0.84428,                 0.5147,                0.77906,                 1.2265,                0.45901,                 1.0844,             0.00097386,             0.00097386,             0.00097386
                     45,                0.78533,                 1.1638,                0.51035,                 1.0462,                0.98434,                0.96462,                0.98905,                 0.7292,                 0.9147,                0.89545,                0.89455,                0.53142,                0.88727,                 1.2587,                0.50184,                 1.2005,             0.00095736,             0.00095736,             0.00095736
                     46,                0.78529,                 1.1432,                 0.5134,                 1.0373,                0.91333,                0.97435,                 0.9798,                0.71899,                0.78221,                0.83207,                0.78143,                  0.489,                0.90435,                 1.4326,                 0.5622,                 1.2098,             0.00094085,             0.00094085,             0.00094085
                     47,                0.74433,                 1.1474,                0.50054,                 1.0299,                 0.9685,                0.96803,                0.99025,                 0.7651,                  0.896,                0.83403,                0.84403,                0.46467,                0.76639,                  1.592,                0.88038,                 1.0576,             0.00092435,             0.00092435,             0.00092435
                     48,                0.78609,                 1.3426,                 0.4924,                 1.0524,                0.97398,                 0.9876,                0.99362,                 0.7484,                0.87059,                0.88709,                0.84561,                0.50816,                 0.7638,                 1.3657,                0.88958,                 1.0692,             0.00090785,             0.00090785,             0.00090785
                     49,                0.76087,                 1.1729,                0.50002,                 1.0334,                0.97713,                0.99227,                0.99465,                0.74947,                0.89527,                0.90278,                 0.8698,                0.51528,                0.71872,                 1.2006,                0.61381,                 1.0355,             0.00089134,             0.00089134,             0.00089134
                     50,                0.71488,                 1.1193,                0.45344,                0.99786,                 0.9797,                0.99277,                  0.995,                0.75223,                0.86618,                0.88238,                0.86371,                0.53011,                0.79259,                 1.0622,                0.46084,                 1.0708,             0.00087484,             0.00087484,             0.00087484
                     51,                0.74103,                 1.0953,                0.44926,                 1.0273,                 0.9731,                0.95088,                0.98293,                0.72666,                0.86925,                0.85374,                0.85999,                0.53334,                0.80402,                 1.5647,                0.52189,                 1.0714,             0.00085834,             0.00085834,             0.00085834
                     52,                0.71201,                 1.0756,                0.44198,                 1.0158,                0.97314,                0.93019,                0.96882,                0.74597,                0.86729,                0.86946,                 0.8408,                0.52497,                0.72637,                 1.3242,                0.55391,                 1.0404,             0.00084184,             0.00084184,             0.00084184
                     53,                0.72144,                 1.2139,                0.45717,                0.99987,                0.97408,                0.89565,                0.93246,                0.71273,                0.89141,                0.81256,                0.81815,                0.48926,                0.82307,                 1.4473,                0.76056,                 1.1187,             0.00082533,             0.00082533,             0.00082533
                     54,                 0.7223,                 1.1306,                 0.4414,                  1.005,                0.94589,                0.90972,                0.93433,                0.68972,                0.89588,                0.85764,                0.87809,                0.51422,                0.86535,                 1.6017,                0.68522,                 1.1362,             0.00080883,             0.00080883,             0.00080883
                     55,                0.75481,                 1.1905,                 0.4523,                 1.0265,                0.98503,                0.96465,                0.98973,                0.74304,                0.92772,                0.90972,                0.91821,                0.56626,                 0.8018,                 1.2862,                0.43722,                 1.1051,             0.00079233,             0.00079233,             0.00079233
                     56,                0.75568,                 1.0861,                0.45233,                 1.0351,                0.98138,                      1,                  0.995,                0.78903,                0.92562,                0.94444,                0.90761,                0.58128,                0.66376,                  1.064,                 0.3471,                 0.9904,             0.00077582,             0.00077582,             0.00077582
                     57,                0.72634,                 1.0877,                0.44013,                 1.0239,                0.98057,                      1,                  0.995,                0.78254,                0.92516,                0.94444,                0.90573,                0.59285,                0.67072,                 1.0373,                 0.3638,                0.99299,             0.00075932,             0.00075932,             0.00075932
                     58,                0.71466,                 1.1924,                0.44063,                 1.0053,                0.98372,                      1,                  0.995,                0.78118,                0.91441,                0.93056,                0.87936,                0.55677,                0.70273,                 1.1146,                0.36587,                 1.0225,             0.00074282,             0.00074282,             0.00074282
                     59,                0.71861,                 1.1897,                0.43319,                 1.0211,                0.99149,                0.98537,                  0.995,                0.79215,                 0.8703,                0.88492,                 0.8131,                0.53095,                 0.6498,                 1.1238,                0.33785,                0.97681,             0.00072631,             0.00072631,             0.00072631
                     60,                 0.7046,                 1.1602,                0.42673,                      1,                0.98276,                0.99846,                  0.995,                0.73905,                0.89893,                0.91534,                0.87237,                0.54175,                0.66978,                  1.049,                0.33612,                0.98988,             0.00070981,             0.00070981,             0.00070981
                     61,                  0.684,                 1.0825,                0.39948,                0.98445,                0.98558,                0.99982,                  0.995,                 0.7769,                0.90168,                0.91667,                0.87791,                0.54695,                0.66039,                 1.0459,                0.33338,                0.99587,             0.00069331,             0.00069331,             0.00069331
                     62,                0.70208,                 1.0025,                0.41954,                 0.9987,                0.98699,                0.99779,                 0.9949,                0.79283,                0.93112,                0.94266,                0.91351,                0.54524,                0.66995,                 1.0727,                0.34077,                 1.0284,              0.0006768,              0.0006768,              0.0006768
                     63,                0.68017,                 1.0708,                0.41237,                0.98015,                0.99089,                0.99634,                0.99493,                0.77845,                0.92021,                0.92708,                0.90793,                0.53453,                0.70899,                 1.1049,                0.33773,                 1.0313,              0.0006603,              0.0006603,              0.0006603
                     64,                0.68908,                 1.0347,                0.40805,                0.98639,                0.99038,                0.99653,                  0.995,                0.78045,                0.90636,                0.91319,                0.86148,                0.53178,                0.70899,                 1.0721,                0.33561,                 1.0216,              0.0006438,              0.0006438,              0.0006438
                     65,                0.67324,                 1.0554,                0.40977,                0.98351,                0.98956,                0.99653,                0.99497,                0.78413,                0.89236,                0.89931,                0.84084,                0.53348,                0.72508,                 1.0859,                0.32617,                 1.0358,             0.00062729,             0.00062729,             0.00062729
                     66,                0.72212,                 1.1119,                0.44102,                0.99889,                0.97747,                0.99306,                0.99342,                0.78541,                0.90998,                0.92361,                0.88921,                0.55785,                0.71956,                 1.1574,                0.33906,                  1.046,             0.00061079,             0.00061079,             0.00061079
                     67,                0.71677,                 1.1502,                0.42727,                 1.0041,                0.97863,                 0.9993,                0.99148,                0.78561,                0.93812,                0.95766,                0.93688,                0.58955,                0.69571,                 1.0936,                0.33323,                 1.0357,             0.00059429,             0.00059429,             0.00059429
                     68,                0.68658,                 1.0517,                 0.4099,                0.98629,                0.97273,                 0.9987,                0.99415,                0.80995,                0.86419,                 0.8888,                0.83089,                0.55139,                0.67478,                 1.0619,                0.32891,                 1.0279,             0.00057778,             0.00057778,             0.00057778
                     69,                 0.6489,                 1.0286,                0.39911,                0.99311,                0.97601,                0.98887,                0.99415,                0.81356,                0.84706,                0.86741,                0.82749,                0.55315,                0.66719,                 1.0569,                0.33333,                  1.023,             0.00056128,             0.00056128,             0.00056128
                     70,                 0.6661,                0.99068,                 0.3878,                0.98261,                0.97555,                0.99507,                0.99442,                0.78976,                0.93504,                0.95348,                0.95713,                0.59426,                0.64783,                 1.0706,                0.32333,                 0.9969,             0.00054478,             0.00054478,             0.00054478
