                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.69312,                 1.1429,                0.45918,                0.90935,                0.96999,                0.93182,                0.98367,                 0.6238,                0.91712,                0.88636,                 0.9037,                0.46832,                0.99264,                 1.2652,                0.50949,                 1.0041,              0.0011389,              0.0011389,              0.0011389
                     35,                0.69405,                 1.1341,                0.45639,                0.91602,                0.90637,                0.95455,                0.98883,                0.62625,                0.83616,                0.88636,                0.88516,                  0.453,                 1.1963,                 1.4789,                0.55361,                 1.1434,              0.0011224,              0.0011224,              0.0011224
                     36,                0.68092,                 1.2307,                 0.4605,                0.90587,                0.91937,                0.95455,                 0.9922,                0.62758,                0.88864,                0.92614,                0.96283,                0.50376,                0.97715,                 1.4349,                0.50078,                  1.021,              0.0011059,              0.0011059,              0.0011059
                     37,                0.70401,                 1.0837,                0.44067,                0.93209,                0.92859,                 0.9775,                0.99333,                0.60529,                0.87801,                0.92675,                0.91844,                0.47605,                  1.001,                 1.6265,                0.49705,                  1.044,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.6406,                 1.0553,                0.42719,                 0.9049,                0.97491,                 0.9685,                0.99298,                0.59938,                0.83111,                 0.8643,                0.81595,                0.42865,                 1.1812,                  1.946,                0.51836,                 1.1332,              0.0010729,              0.0010729,              0.0010729
                     39,                0.71167,                 1.2122,                0.46005,                0.93237,                0.96633,                0.99225,                0.99392,                 0.6406,                0.77729,                0.80682,                0.70046,                0.39467,                 1.1957,                 1.9922,                0.53409,                 1.1584,              0.0010564,              0.0010564,              0.0010564
                     40,                0.65235,                 1.0672,                  0.415,                0.91552,                0.96601,                      1,                0.99478,                0.68915,                0.80669,                 0.8313,                0.74614,                0.43365,                0.90511,                 1.5489,                 0.4812,                 1.0044,              0.0010399,              0.0010399,              0.0010399
                     41,                 0.6599,                  1.097,                0.43271,                0.91578,                0.99675,                      1,                  0.995,                0.61601,                0.88345,                0.88636,                0.80833,                0.43892,                 1.0504,                 1.6515,                0.44201,                 1.0479,              0.0010234,              0.0010234,              0.0010234
                     42,                0.61659,                0.97222,                0.39693,                0.89241,                0.99465,                      1,                  0.995,                0.59013,                0.88176,                0.88636,                0.80722,                0.40909,                 1.1582,                 1.8042,                0.46747,                 1.1102,              0.0010069,              0.0010069,              0.0010069
                     43,                0.62835,                 1.0424,                0.40388,                0.89848,                0.97861,                      1,                0.99215,                0.59029,                0.82078,                0.84091,                0.74288,                0.38965,                 1.0858,                 1.6021,                0.48675,                 1.0719,             0.00099036,             0.00099036,             0.00099036
                     44,                0.67218,                 1.0463,                0.40738,                0.89926,                0.96647,                      1,                0.98927,                0.63102,                0.80791,                0.84091,                0.75635,                0.39052,                 1.0591,                 1.5577,                0.47804,                 1.0852,             0.00097386,             0.00097386,             0.00097386
                     45,                0.61318,                 1.0104,                0.39387,                0.89157,                0.97922,                      1,                0.99444,                0.63657,                0.84317,                0.86364,                0.77634,                0.43366,                 1.1747,                 1.6022,                0.48131,                 1.1472,             0.00095736,             0.00095736,             0.00095736
                     46,                0.61651,                0.96158,                0.39274,                0.87479,                0.98244,                      1,                0.99494,                0.64833,                0.84595,                0.86364,                 0.7775,                0.46859,                 1.1033,                 1.5585,                0.47224,                 1.1053,             0.00094085,             0.00094085,             0.00094085
                     47,                0.61733,                0.96434,                 0.3948,                0.88764,                0.99011,                      1,                  0.995,                0.65584,                0.94475,                0.95455,                0.94012,                0.56171,                 0.9229,                 1.3901,                0.42302,                 0.9872,             0.00092435,             0.00092435,             0.00092435
                     48,                0.64167,                0.96577,                0.39179,                  0.904,                0.99455,                      1,                  0.995,                0.67598,                0.94927,                0.95455,                0.94925,                 0.5493,                0.90234,                 1.3841,                0.40174,                0.98236,             0.00090785,             0.00090785,             0.00090785
                     49,                0.63298,                0.95977,                0.39104,                0.89557,                0.99611,                      1,                  0.995,                0.62383,                0.88388,                0.90892,                0.84924,                0.44203,                 1.0424,                 1.6531,                0.42196,                 1.0569,             0.00089134,             0.00089134,             0.00089134
                     50,                0.60146,                0.96331,                0.37708,                0.88837,                0.99666,                      1,                  0.995,                0.62241,                0.88402,                0.90727,                 0.8317,                0.45801,                 1.0234,                 1.4708,                0.41434,                 1.0482,             0.00087484,             0.00087484,             0.00087484
                     51,                0.61893,                 1.0989,                0.38708,                0.89549,                0.99718,                      1,                  0.995,                0.64642,                0.86191,                0.88461,                0.81233,                0.48131,                0.97413,                 1.2794,                0.40615,                 1.0305,             0.00085834,             0.00085834,             0.00085834
                     52,                0.63092,                 1.0421,                0.39177,                0.89756,                  0.997,                      1,                  0.995,                 0.6562,                0.90725,                0.90909,                0.86731,                0.50765,                 1.0362,                 1.2988,                0.43777,                 1.0794,             0.00084184,             0.00084184,             0.00084184
                     53,                 0.6065,                 1.0351,                0.39921,                0.89204,                0.99566,                      1,                  0.995,                0.64645,                 0.8824,                0.88636,                0.84009,                0.47063,                 1.0673,                  1.382,                0.42827,                 1.0838,             0.00082533,             0.00082533,             0.00082533
                     54,                 0.5751,                0.92589,                0.36709,                 0.8874,                 0.9957,                      1,                  0.995,                0.68788,                0.85964,                0.86364,                 0.8064,                0.48413,                 0.9642,                 1.3657,                0.40098,                 1.0067,             0.00080883,             0.00080883,             0.00080883
                     55,                0.64036,                0.94021,                 0.3943,                0.90741,                0.99634,                      1,                  0.995,                0.71283,                0.86019,                0.86364,                0.80011,                 0.4349,                0.87334,                 1.4197,                0.40253,                0.98179,             0.00079233,             0.00079233,             0.00079233
                     56,                0.61454,                0.94745,                0.39459,                0.89462,                0.99682,                      1,                  0.995,                0.70135,                0.86057,                0.86364,                0.79529,                0.41812,                0.97882,                 1.5675,                0.40716,                 1.0311,             0.00077582,             0.00077582,             0.00077582
                     57,                0.61324,                0.93604,                0.38186,                0.88788,                  0.997,                      1,                  0.995,                0.69306,                0.86119,                0.86364,                0.79367,                0.45074,                 1.0356,                 1.4158,                 0.4153,                 1.0431,             0.00075932,             0.00075932,             0.00075932
